unit_type_id,project_id,project_name,unit_type
2471,1185,Living Place Ramkhamhaeng,No information
2472,1186,Living Place Sunwichai 1,No information
2473,1187,Long Beach Condo,No information
2474,1188,Lot 29,No information
2475,1189,Lotus Condotown,No information
2476,1190,Lucas Garden - Family House,No information
2477,1191,Lugano Ladprao 18,No information
2478,1192,Lumpini Center Happyland,Studio (N/A sq.m.)
2479,1192,Lumpini Center Happyland,1 Bedroom  (N/A sq.m.)
2480,1192,Lumpini Center Happyland,2 Bedroom (N/A sq.m.)
2481,1193,Lumpini Center Ladprao 111,1 Bedroom  (N/A sq.m.)
2482,1193,Lumpini Center Ladprao 111,Studio (N/A sq.m.)
2483,1193,Lumpini Center Ladprao 111,2 Bedroom (N/A sq.m.)
2484,1194,Lumpini Center Nawamin,Studio (N/A sq.m.)
2485,1194,Lumpini Center Nawamin,1 Bedroom (N/A sq.m.)
2486,1194,Lumpini Center Nawamin,2 Bedrooms (N/A sq.m.)
2487,1195,Lumpini Center Sukhumvit 77,2 Bedroom (N/A sq.m.)
2488,1195,Lumpini Center Sukhumvit 77,1 Bedroom  (N/A sq.m.)
2489,1195,Lumpini Center Sukhumvit 77,Studio (N/A sq.m.)
2490,1196,Lumpini Condo Town Bangkhae,1 Bedroom (26.0 - 36.50 sq.m.)
2491,1197,Lumpini Condo Town Bodindecha - Ramkhamhaeng,1 Bedroom  (28.0 sq.m.)
2492,1197,Lumpini Condo Town Bodindecha - Ramkhamhaeng,Studio (25.0 sq.m.)
2493,1198,Lumpini Condo Town Chonburi - Sukhumvit,1 Bedroom (21.0 - 26.0 sq.m.)
2494,1198,Lumpini Condo Town Chonburi - Sukhumvit,2 Bedroom (42.0 - 52.0 sq.m.)
2495,1199,Lumpini Condo Town Nida - Sereethai 2,1 Bedroom (22.50 - 26.0 sq.m.)
2496,1199,Lumpini Condo Town Nida - Sereethai 2,2 Bedroom (45.0 sq.m.)
2497,1200,Lumpini Condo Town Nida - Serithai,2 Bedroom (45.0 sq.m.)
2498,1200,Lumpini Condo Town Nida - Serithai,1 Bedroom (22.50 sq.m.)
2499,1201,Lumpini Condo Town North Pattaya - Sukhumvit,1 Bedroom (22.50 - 32.50 sq.m.)
2500,1202,Lumpini Condo Town Raminthra - Latplakhao,1 Bedroom (22.50 - 36.0 sq.m.)
2501,1202,Lumpini Condo Town Raminthra - Latplakhao,2 Bedroom (45.0 sq.m.)
2502,1203,Lumpini Condo Town Raminthra - Latplakhao 2,1 Bedroom (22.50 - 26.50 sq.m.)
2503,1203,Lumpini Condo Town Raminthra - Latplakhao 2,2 Bedroom (36.0 sq.m.)
2504,1204,Lumpini Condo Town Raminthra - Nawamin,1 Bedroom (25.0 - 26.0 sq.m.)
2505,1205,Lumpini Condo Town Ramintra - Laksi,1 Bedroom  (28.0 - 35.0 sq.m.)
2506,1205,Lumpini Condo Town Ramintra - Laksi,Studio (25.0 - 25.50 sq.m.)
2507,1206,Lumpini Condo Town Ratanathibet,1 Bedroom  (28.0 - 41.50 sq.m.)
2508,1206,Lumpini Condo Town Ratanathibet,Studio (25.0 sq.m.)
2509,1207,Lumpini Condo Town Romklao - Suvarnabhumi,1 Bedroom (21.50 - 22.0 sq.m.)
2510,1207,Lumpini Condo Town Romklao - Suvarnabhumi,2 Bedroom (43.0 - 44.0 sq.m.)
2511,1208,Lumpini Mega city Bangna,1 Bedroom (22.50 - 29.50 sq.m.)
2512,1208,Lumpini Mega city Bangna,2 Bedroom (45.0 sq.m.)
2513,1209,Lumpini Mixx Thepharak - Srinakarin,2 Bedroom (43.0 - 52.0 sq.m.)
2514,1209,Lumpini Mixx Thepharak - Srinakarin,1 Bedroom (21.50 - 26.0 sq.m.)
2515,1210,Lumpini Park Beach Cha Am,2 Bedroom (57.0 - 76.50 sq.m.)
2516,1210,Lumpini Park Beach Cha Am,1 Bedroom (28.0 - 49.50 sq.m.)
2517,1211,Lumpini Park Beach Jomtien,2 Bedroom (56.50 - 71.0 sq.m.)
2518,1211,Lumpini Park Beach Jomtien,3 Bedroom (151.0 sq.m.)
2519,1211,Lumpini Park Beach Jomtien,1 Bedroom (28.0 - 49.0 sq.m.)
2520,1212,Lumpini Park Boromratchachonni - Sirindhorn,2 Bedrooms (51.50 sq.m.)
2521,1212,Lumpini Park Boromratchachonni - Sirindhorn,Studio (22.50 sq.m.)
2522,1212,Lumpini Park Boromratchachonni - Sirindhorn,1 Bedroom (28.0 - 30.0 sq.m.)
2523,1213,Lumpini Park Nawamin - Si Burapha,1 Bedroom (22.50 - 26.0 sq.m.)
2524,1213,Lumpini Park Nawamin - Si Burapha,2 Bedroom (45.0 - 52.0 sq.m.)
2525,1214,Lumpini Park Phahon 32,Studio  (24.0 - 28.50 sq.m.)
2526,1214,Lumpini Park Phahon 32,1 Bedroom (28.0 - 32.50 sq.m.)
2527,1214,Lumpini Park Phahon 32,2 Bedrooms (36.0 - 46.50 sq.m.)
2528,1215,Lumpini Park Phetkasem 98,2 Bedroom (45.0 - 52.0 sq.m.)
