place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
School,Suankularb Wittayalai Nonthaburi School,suankularb-wittayalai-nonthaburi-school,1588,200,894.0,4
Grey Line,Nang Lingee Station,nang-lingee-station,1066,663,864.5,4
Bangkok,Chom Thong,chom-thong,1302,414,858.0,4
School,Ratchawinit Bang Khae School,ratchawinit-bang-khae-school--2,1374,333,853.5,4
Bangkok,Prasert Manukit Road,prasert-manukit-road,1253,421,837.0,4
MRT Purple line,MRT Wong Sawang,mrt-wong-sawang,1409,262,835.5,4
University/College,Navamindradhiraj University,navamindradhiraj-university,1363,272,817.5,4
Chonburi,Pattaya City Hall,pattaya-city-hall,460,1131,795.5,4
MRT Blue line,MRT Bang Pho,mrt-bang-pho--ae07097e,1168,409,788.5,4
MRT Orange Line,MRT Ramkhamhaeng 34,mrt-ramkhamhaeng-34,1245,322,783.5,4
MRT Yellow Line,MRT Bang Kapi,mrt-bang-kapi,1179,373,776.0,4
School,The Pattaya Redemptorist School for the Blind,the-pattaya-redemptorist-school-for-the-blind,451,1096,773.5,4
MRT Orange Line,MRT Rang Nam,mrt-rang-nam,1120,421,770.5,4
School,Phothi Samphan Phitthayakhan School,phothi-samphan-phitthayakhan-school,446,1085,765.5,4
Bangkok,Sukumvit 50,sukumvit-50,1110,403,756.5,4
Chonburi,Tiffany Show Pattaya,tiffany-show-pattaya,449,1059,754.0,4
Chonburi,Art in Paradise Pattaya,art-in-paradise-pattaya,449,1059,754.0,4
MRT Purple line,MRT Bang Kraso,mrt-bang-kraso,1233,271,752.0,4
Grey Line,Mahai Sawan Station,mahai-sawan-station--3,1108,390,749.0,4
Bangkok,Bangkok Noi,bangkok-noi,1116,376,746.0,4
School,Ratwinit Bangkaeo School,ratwinit-bangkaeo-school,1172,320,746.0,4
BTS Sukhumvit Line,BTS Sena Nikhom,bts-sena-nikhom,1130,357,743.5,4
BTS Silom Line,BTS Pho Nimit,bts-pho-nimit,1219,264,741.5,4
MRT Yellow Line,MRT Phattanakan,mrt-phattanakan,1109,365,737.0,4
MRTA Pink Line,Khae Rai Station,khae-rai-station,1153,300,726.5,4
MRTA Pink Line,Mueang Thong Thani Station,mueang-thong-thani-station,1196,255,725.5,4
BTS Sukhumvit Line,BTS Ratchayothin,bts-ratchayothin,1135,299,717.0,4
Chonburi,Si Racha Chonburi,si-racha-chonburi,999,434,716.5,4
School,Marryvit Pattaya School,marryvit-pattaya-school,405,1002,703.5,4
BTS Sukhumvit Line,BTS Kasetsart University,bts-kasetsart-university--2,1038,367,702.5,4
University/College,Saiaksorn School,saiaksorn-school,1101,296,698.5,4
BTS Sukhumvit Line,BTS Ari,bts-ari,1011,376,693.5,4
MRT Blue line,MRT Bang Yi Khan,mrt-bang-yi-khan,1114,263,688.5,4
University/College,Mahamakut Buddhist University,mahamakut-buddhist-university,1104,259,681.5,4
School,Loet La School,loet-la-school,1015,338,676.5,4
Chonburi,Pinthong Industrial Estate,pinthong-industrial-estate,966,373,669.5,4
University/College,Kasetsart University Si Racha Campus,kasetsart-university-si-racha-campus,955,368,661.5,4
MRTA Pink Line,Si Rat Station,si-rat-station,1054,249,651.5,4
BTS Sukhumvit Line,BTS Phaholyothin 24,bts-phaholyothin-24,1042,259,650.5,4
School,St.Paul s Convent School,st-paul-s-convent-school,904,387,645.5,4
University/College,North Bangkok University,north-bangkok-university,1033,255,644.0,4
Samut Prakarn,Bang Plee Samut Prakarn,bang-plee-samut-prakarn,1007,278,642.5,4
Chonburi,Pattaya Night Bazaar,pattaya-night-bazaar,306,978,642.0,4
University/College,The Thai Bar Under The Royal Patronage,the-thai-bar-under-the-royal-patronage,995,260,627.5,4
Bangkok,Sukumvit 26,sukumvit-26,857,391,624.0,4
Bangkok,Lak Si,lak-si,1025,201,613.0,4
University/College,Yamjard Vichanusorn School,yamjard-vichanusorn-school,957,267,612.0,4
School,Muang Pattaya 2 School,muang-pattaya-2-school,360,832,596.0,4
Chonburi,Sanctuary of Truth,sanctuary-of-truth,361,830,595.5,4
MRT Blue line,MRT Tha Phra,mrt-tha-phra,893,281,587.0,4
Samut Prakarn,Anya Thani Industrial Estate (Gemopolis),anya-thani-industrial-estate-gemopolis,746,413,579.5,4
BTS Silom Line,BTS Saphan Taksin,bts-saphan-taksin,582,575,578.5,4
Bangkok,Wang Thonglang,wang-thonglang,857,291,574.0,4
Chiang Mai,Muang Chiang Mai Chiang Mai,muang-chiang-mai-chiang-mai,457,690,573.5,4
Nonthaburi,Bang Bua Thong Nonthaburi,bang-bua-thong-nonthaburi,953,191,572.0,4
BTS Sukhumvit Line,BTS Sanam Pao,bts-sanam-pao,755,388,571.5,4
MRT Purple line,MRT Nonthaburi Civic Center,mrt-nonthaburi-civic-center,897,224,560.5,4
Bangkok,Pradist Manutham Road,pradist-manutham-road,839,282,560.5,4
Chiang Mai,Chiang Mai Pillar City Shrine,chiang-mai-pillar-city-shrine,442,653,547.5,4
School,Ratchawinit Bang Khen School,ratchawinit-bang-khen-school,867,209,538.0,4
Bangkok,Bang Kho Laem,bang-kho-laem,712,360,536.0,4
University/College,Boromarajonani College Of Nursing Noppharat Wachi,boromarajonani-college-of-nursing-noppharat-wachi,870,187,528.5,4
School,Bodindecha (Sing Singhaseni) School,bodindecha-sing-singhaseni-school,922,127,524.5,4
MRT Orange Line,MRT Yaek Lam Sali,mrt-yaek-lam-sali,774,264,519.0,4
MRT Blue line,MRT Hua Lamphong,mrt-hua-lamphong,689,348,518.5,4
MRTA Pink Line,Chaeng Watthana 14 Station,chaeng-watthana-14-station,803,230,516.5,4
Nonthaburi,The Square Bang Yai,the-square-bang-yai,854,173,513.5,4
Chiang Mai,Provincial Waterworks Authority Chiang Mai,provincial-waterworks-authority-chiang-mai,423,602,512.5,4
School,Si Racha School,si-racha-school,719,287,503.0,4
School,Darasamut School,darasamut-school,719,287,503.0,4
Grey Line,Rama 4 Station,rama-4-station,578,427,502.5,4
School,Thepbodint Wittaya,thepbodint-wittaya,428,571,499.5,4
School,Navamindarajudis Krungthepmahanakhon School,navamindarajudis-krungthepmahanakhon-school,795,204,499.5,4
MRT Purple line,MRT Ministry of Public Health,mrt-ministry-of-public-health,761,231,496.0,4
Grey Line,Charoen Krung Station,charoen-krung-station,738,253,495.5,4
University/College,Bangkok Arts&Crafts College,bangkok-arts-crafts-college,743,234,488.5,4
School,Wat Bueng Thonglang Secondary School,wat-bueng-thonglang-secondary-school,730,243,486.5,4
MRT Orange Line,MRT Ramkhamhaeng University,mrt-ramkhamhaeng-university,712,252,482.0,4
School,Assumption College Sriracha,assumption-college-sriracha,692,272,482.0,4
